ID_PROJETO	NUM_PROCESSO	TITULO	CLASSIFICACAO	AVALIACAO	DT_REGISTRO	DT_INICIAL	DT_CONCLUSAO	VL_PREVISTO	DT_ULTIMA_AVAL	SITUACAO	RESPONSAVEL	NOME	DEPTO	NOME_DEPTO	PALAVRAS_CHAVES	FUNDACAO_APOIO	SUPERVISOR_FINANCEIRO	EVENTO	TIPO_PUBLICO_ALVO	PUBLICO_ALVO	PUBLICO_ENVOLVIDO	CENTRO	PAGA_BOLSA										
15747	11855	Nucleo Integrado de A´oes Trabalho-EducaÁ„o/2001-2002	Extens„o	Avaliado	07/12/1999	01/10/2001	30/09/2002	12288	03/12/2004	ConcluÌdo/Publicado	382353 - CARMEN MARIA ANDRADE	CARMEN MARIA ANDRADE	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
22710	19760	Apoio CientÌfico e TecnolÛgico em gest„o e administraÁ„o dos municÌpios Dilermando Aguiar	 Itaara	 Jari	 Julio Castilhos	 Quevedos	 S.Martinho Serra	 S.Pedro Sul	 Toropi e Tupanciret„.	Extens„o	Avaliado	21/11/2006	01/10/2006	31/10/2008	200000	10/12/2010	Cancelado	2116650 - CLAYTON HILLIG	CLAYTON HILLIG	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	80000	8	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa
15332	7547	PROJETO DE EDUCACAO ALIMENTAR ALIADA A UMA PROPOSTA PEDAGOGICA	Extens„o	Avaliado	16/04/1999	01/09/1995	31/12/1999	0		ConcluÌdo/Publicado	379008 - CYNTHIA MUNHOZ DOS ANJOS LEAL	CYNTHIA MUNHOZ DOS ANJOS LEAL	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15998	13297	Implantacao de Horta Didatica e Projeto Floricultura e Paisagismo	Extens„o	Avaliado fora do prazo	06/09/1999	15/07/2002	30/12/2002	2784	16/11/2004	ConcluÌdo/Publicado	1109234 - DINIZ FRONZA	DINIZ FRONZA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15570	10176	REOPERACIONALIZACAO DO ATENDIMENTO DE ENFERMAGEM EM URGENCIA E EMERGENCIA DIANTE DOS PACIENTES COM CUIDADOS DE ALTA COMPLEX	Extens„o	Avaliado	24/10/1999	01/01/2000	01/01/2000	0	03/12/2004	ConcluÌdo/Publicado	378801 - DOLORES REGINATO CHAGAS	DOLORES REGINATO CHAGAS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15736	11788	A Equipe de saude do HUSM no Espa´o estrategico da Assistencia Intensiva e de Emergencia.	Extens„o	Avaliado	22/11/1999	01/12/2001	30/11/2002	0	03/12/2004	ConcluÌdo/Publicado	382030 - ELAINE VERENA RESENER	ELAINE VERENA RESENER	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15323	7441	PROJETO INSTITUCIONAL DE EXPANSAO DAS ATIVIDADES DO HUSM	Extens„o	Avaliado fora do prazo	18/03/1999	15/03/1999	15/03/2001	0	11/11/2004	ConcluÌdo/Publicado	382030 - ELAINE VERENA RESENER	ELAINE VERENA RESENER	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15420	8631	COMPORTAMENTO DA F. ALCALINA E DA DES. LATICA COM RELACAO A EVOLUCAO DOS CASOS DE CANCER DE COLO DE UTERO COM	Extens„o	Avaliado fora do prazo	23/11/1999	18/10/1999	17/10/2000	0	11/11/2004	ConcluÌdo/Publicado	6382030 - ELAINE VERENA RESENER	ELAINE VERENA RESENER	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15585	10309	INCORPORACAO DE NOVOS METODOS DE IMAGENOLOGIA NO HOSPITAL UNIVERSITARIO DE SANTA MARIA.	Extens„o	Avaliado	05/12/1999	01/12/2000	30/11/2001	0	03/12/2004	ConcluÌdo/Publicado	6382030 - ELAINE VERENA RESENER	ELAINE VERENA RESENER	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15578	10276	PROJETO DE REQUALIFICACAO DE PESSOAL MEDICO E DE ENFERMAGEM EM ASSISTENCIAINTENSIVA E DE EMERGENCIA DO HUSM	Extens„o	Avaliado	21/11/1999	21/11/2000	21/11/2001	0	03/12/2004	ConcluÌdo/Publicado	6382030 - ELAINE VERENA RESENER	ELAINE VERENA RESENER	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15582	10298	ALTERNATIVA PRE-VESTIBULAR POPULAR/ 2000.	Extens„o	Avaliado	28/11/1999	01/03/2000	31/12/2000	0	03/12/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15694	11482	CURSO DE ATUALIZACAO EM EDUCACAO: DISCUTINDO A QUALIDADE DA ESCOLA.	Extens„o	Avaliado	20/07/1999	01/07/2001	31/08/2001	0	03/12/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15470	8997	CURSO DE ESPECIALIZACAO EM DESENVOLVIMENTO HUMANO COM ENFASE EM EDUCACAO INFANTIL	Extens„o	Avaliado	07/04/1999	08/04/2000	30/03/2001	0	03/12/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15680	11255	I JORNADA ESTADUAL DE EDUCACAO E II JORNADA REGIONAL DE EDUCACAO E MOSTRA EM EDUCACAO BASICA.	Extens„o	Avaliado	07/06/1999	01/05/2001	31/12/2001	0	03/12/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15747	11855	Nucleo Integrado de A´oes Trabalho-EducaÁ„o/2001-2002	Extens„o	Avaliado	07/12/1999	01/10/2001	30/09/2002	12288	03/12/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15756	11890	PRE-VESTIBULAR POPULAR ALTERNATIVA/2001	Extens„o	Avaliado	20/12/1999	01/03/2001	31/01/2002	0	19/11/2004	ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15374	8268	PROJETO ADMINISTRACAO DA SEGURANCA PATRIMONIAL	Extens„o	Avaliado	27/07/1999	01/07/1999	31/12/1999	0		ConcluÌdo/Publicado	382262 - ELSA CATARINA SANTOS ROSISKI	ELSA CATARINA SANTOS ROSISKI	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15601	10472	Concertos Sinfonicos Populares	Extens„o	Avaliado	16/02/1999	01/04/2001	30/11/2002	0	03/12/2004	ConcluÌdo/Publicado	379293 - ENIO GUERRA	ENIO GUERRA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	2500	100	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15372	8236	DETECCAO PRECOCE DAS LESOES VISCERAIS NO TRAUMA ABDOMINAL FECHADO	Extens„o	Avaliado	12/07/1999	01/07/1999	31/12/1999	0		Cancelado	381613 - EWERTON NUNES MORAIS	EWERTON NUNES MORAIS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15620	10622	"CONCURSO DE CRONICAS "" A UFSM NA MINHA HISTORIA """	Extens„o	Avaliado	10/04/1999	16/05/2000	14/12/2000	0	03/12/2004	ConcluÌdo/Publicado	381393 - GASPAR BIANOR MIOTTO	GASPAR BIANOR MIOTTO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15982	13236	Proposta Tecnica para Prestacao de Servicos Tecnicos Especializados na Area de Comunicacao Social.	Extens„o	Avaliado	23/08/1999	06/05/2002	31/12/2002	0		ConcluÌdo/Publicado	381393 - GASPAR BIANOR MIOTTO	GASPAR BIANOR MIOTTO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15472	9025	Ampliacao e Qualicacao do Servicos Prestados aos Pacientes no Centro Cir urgico e Sala de Recuperacao do HUSM	Extens„o	Avaliado	12/04/1999	06/04/2000	05/04/2001	0		ConcluÌdo/Publicado	381820 - GENECI MARIA LONDERO DUARTE	GENECI MARIA LONDERO DUARTE	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15449	8865	APRIMORAMENTO DA ASSISTENCIA DE ENFERMAGEM A PACIENTES NO SERVICO DE SALA DE RECUPERACAO ANESTESICA.	Extens„o	Avaliado	09/02/1999	04/02/2000	04/02/2001	0	03/12/2004	ConcluÌdo/Publicado	381820 - GENECI MARIA LONDERO DUARTE	GENECI MARIA LONDERO DUARTE	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
16005	13335	Inventario de Recursos Hidricos e de Possiveis Locais de Barramentos para Fins de IrrigaÁ„o na Parte Norte do Estado do Rio Grande do Sul	Extens„o	Avaliado	18/09/1999	01/08/2002	30/08/2003	0	03/12/2004	ConcluÌdo/Publicado	379623 - GERALDO LOPES DA SILVEIRA	GERALDO LOPES DA SILVEIRA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15321	7367	ASSESSORIA EM SAUDE OCUPACIONAL E SEGURANCA DO TRABALHO	Extens„o	Avaliado fora do prazo	11/01/1999	01/01/1999	31/12/2001	0	11/11/2004	ConcluÌdo/Publicado	49968 - HELGA HELIANI SCHERER PERLIN	HELGA HELIANI SCHERER PERLIN	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15320	7363	"PROJETO ""EDUCACAO CONTINUADA: APOIO INSTITUCIONAL AS CASAS-ABRIGO DE MENI-NAS E MENINOS DE SANTA MARIA"	Extens„o	Avaliado	05/01/1999	09/12/1998	31/12/2001	0	03/12/2004	ConcluÌdo/Publicado	49968 - HELGA HELIANI SCHERER PERLIN	HELGA HELIANI SCHERER PERLIN	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15586	10311	PROJETO DE DESENVOLVIMENTO SUSTENTAVEL DO MUNICIPIO DE DILERMANDO DE AGUI-AR - RS	Extens„o	Avaliado fora do prazo	05/12/1999	01/07/2000	31/01/2001	0	22/01/2009	Cancelado	49968 - HELGA HELIANI SCHERER PERLIN	HELGA HELIANI SCHERER PERLIN	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15742	11837	Temporada da Orquestra Sinfonica de Santa Maria 2å semestre 2001	Extens„o	Avaliado	30/11/1999	01/11/2001	21/01/2002	0	03/12/2004	ConcluÌdo/Publicado	380153 - HONORIO ROSA NASCIMENTO	HONORIO ROSA NASCIMENTO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15407	8542	TURMA DO IQUE	Extens„o	Avaliado fora do prazo	19/10/1999	04/01/1999	31/12/2000	0	11/11/2004	ConcluÌdo/Publicado	379267 - IRIA LUIZA GOMES FARIAS	IRIA LUIZA GOMES FARIAS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
17135	14970	APRENDENDO E ENSINANDO A VIVER COM HIV E SIDA. GRUPO DE APOIO AOS PORTADORES DE HIV/SIDA NO AMBULAT”RIO DO HUSM.	Extens„o	Avaliado fora do prazo	22/09/2003	02/06/2003	30/12/2003		12/11/2004	ConcluÌdo/Publicado	381683 - JANETE MARIA DENARDIN	JANETE MARIA DENARDIN	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	400	4	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15718	11681	Festival da Contra Cultura: Nossas Expressoes	Extens„o	Avaliado	24/09/1999	18/09/2001	16/12/2001	0	03/12/2004	ConcluÌdo/Publicado	380389 - JOAO LUIZ DE OLIVEIRA ROTH	JOAO LUIZ DE OLIVEIRA ROTH	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15405	8540	INCENTIVO A PRATICA DE ATIVIDADES FISICAS E DO DESPORTO UNIERSITARIO	Extens„o	Avaliado	19/10/1999	15/10/1999	20/12/1999	0		ConcluÌdo/Publicado	380389 - JOAO LUIZ DE OLIVEIRA ROTH	JOAO LUIZ DE OLIVEIRA ROTH	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	15000	2000	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15386	8398	consultoria e assessoria na area hospitalar.	Extens„o	Avaliado fora do prazo	15/09/1999	15/09/1999	01/01/2002	0	11/11/2004	ConcluÌdo/Publicado	381935 - JOAO PEDRO FERREIRA FILHO	JOAO PEDRO FERREIRA FILHO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15523	9573	"EXTENSAO CONTA"" NO VIDEO,Extens„o,Avaliado,20/06/1999,01/03/2000,31/12/2001,0,03/12/2004,ConcluÌdo/Publicado,379546 - JOAO RODOLPHO AMARAL FLORES,JOAO RODOLPHO AMARAL FLORES,01.00.00.00.0.0,REITORIA,, , ,,N„o necessita contratar fundaÁ„o,,N„o se aplica,Geral,0,0,01.00.00.00.0.0 - REITORIA,N„o paga nenhum tipo de bolsa
15587,10313,PROGRAMA DE EDUCACAO COMUNITARIA PARA O DESENVOLVIMENTO SUSTENTAVEL DO MUNICIPIO DE SAO PEDRO DO SUL - RS.,Extens„o,Avaliado,05/12/1999,01/08/2000,31/01/2001,0,03/12/2004,ConcluÌdo/Publicado,379546 - JOAO RODOLPHO AMARAL FLORES,JOAO RODOLPHO AMARAL FLORES,01.00.00.00.0.0,REITORIA,, , ,,N„o necessita contratar fundaÁ„o,,N„o se aplica,Geral,0,0,01.00.00.00.0.0 - REITORIA,N„o paga nenhum tipo de bolsa
15317,7332,PROJETO ""MEMORIA E PODER"	Extens„o	Avaliado	29/12/1998	02/02/1999	31/12/2001	0	03/12/2004	ConcluÌdo/Publicado	379546 - JOAO RODOLPHO AMARAL FLORES	JOAO RODOLPHO AMARAL FLORES	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15474	9036	PROJETO PARA A IMPLEMENTACAO DA REORGANIZACAO ESPACIAL DO ASSENTAMENTO	 SUA QUALIFICACAO URBANA	Extens„o	Avaliado	14/04/1999	01/03/1999	31/12/2001	0	03/12/2004	ConcluÌdo/Publicado	379546 - JOAO RODOLPHO AMARAL FLORES	JOAO RODOLPHO AMARAL FLORES	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa						
15793	12122	Curso de Extensao FormaÁ„o Holistica de Base	Extens„o	Avaliado	11/03/1999	16/03/2002	31/12/2002	0	03/12/2004	ConcluÌdo/Publicado	381053 - JOSE FRANCISCO SILVA DIAS	JOSE FRANCISCO SILVA DIAS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
17765	15321	FORMA«√O HOLÕSTICA DE BASE	Extens„o	Avaliado	15/01/2004	01/01/2003	31/12/2003	6729		ConcluÌdo/Publicado	381053 - JOSE FRANCISCO SILVA DIAS	JOSE FRANCISCO SILVA DIAS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral			01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15586	10311	PROJETO DE DESENVOLVIMENTO SUSTENTAVEL DO MUNICIPIO DE DILERMANDO DE AGUI-AR - RS	Extens„o	Avaliado fora do prazo	05/12/1999	01/07/2000	31/01/2001	0	22/01/2009	Cancelado	381053 - JOSE FRANCISCO SILVA DIAS	JOSE FRANCISCO SILVA DIAS	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15573	10219	ENCONTRO DE MULHERES RURAIS NA FRONTEIRA BRASIL - URUGUAI	Extens„o	Avaliado	10/11/1999	01/04/2000	31/12/2000	0	03/12/2004	ConcluÌdo/Publicado	380140 - JOSE RENATO DUARTE FIALHO	JOSE RENATO DUARTE FIALHO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15375	8293	ESTUDO SOBRE AS CONDICOES SOCIAIS DAS PESSOAS ADULTAS QUE HABITAM AS RUAS DE SANTA MARIA	Extens„o	Avaliado	30/07/1999	01/08/1998	31/12/1999	4010		Cancelado	380140 - JOSE RENATO DUARTE FIALHO	JOSE RENATO DUARTE FIALHO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15586	10311	PROJETO DE DESENVOLVIMENTO SUSTENTAVEL DO MUNICIPIO DE DILERMANDO DE AGUI-AR - RS	Extens„o	Avaliado fora do prazo	05/12/1999	01/07/2000	31/01/2001	0	22/01/2009	Cancelado	380140 - JOSE RENATO DUARTE FIALHO	JOSE RENATO DUARTE FIALHO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15319	7362	UNIVERSIDADE SOLIDARIA INSERCAO REGIONAL - DILERMANDO DE AGUIAR/RS	Extens„o	Avaliado	05/01/1999	01/08/1998	01/08/1999	39258		Cancelado	380140 - JOSE RENATO DUARTE FIALHO	JOSE RENATO DUARTE FIALHO	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
15579	10277	AMPLIACAO E QUALIFICACAO DOS SERVICOS PRESTADOS AOS PACIENTES EM TRATAMEN-TO NO SERVICO DE ONCO-HEMATOLOGIA.	Extens„o	Avaliado	21/11/1999	01/11/2000	31/10/2001	0	03/12/2004	ConcluÌdo/Publicado	379276 - LARRY MARCOS CASSOL ARGENTA	LARRY MARCOS CASSOL ARGENTA	01.00.00.00.0.0	REITORIA		 	 		N„o necessita contratar fundaÁ„o		N„o se aplica	Geral	0	0	01.00.00.00.0.0 - REITORIA	N„o paga nenhum tipo de bolsa							
